ID,BY,TRANSCRIPT,AIRLINE,FLIGHT,CONVERSATION,HREF
1,,07 Jul 1962,Alitalia,771,"[['1838:54:00', '""771 is leaving now five thousand three       six zero on the outer marker""'], ['', '""771 say again your last message""'], ['1839:09:00', '""Say again please.""'], ['', '""771 unable to make out your last       message, will you please repeat.""'], ['', '""771 please say again. ""'], ['', '""771 request your intentions - Are you       coming straight in from the outer marker for landing runway two, seven or       making a three sixty over the outer marker then reporting leaving outer       marker inbound over? ""'], ['1839:38:00', '""OK clear to the outer marker runway two       seven make a three sixty on the outer marker then report the outer marker       inbound for runway two seven. ""'], ['', '""Roger understand you will be making a       three sixty over the outer marker Report leaving outer marker while       proceeding making a three sixty.""'], ['1839:58:00', '""Roger will do Alitalia seven seven one.       ""']]",cvr620707.htm
2,,07 May 1964,Pacific Air Lines,773,"[['F/O', ""Skipper's shot!\xa0       We've been shot. I was trying to help.""]]",cvr640507.htm
3,,08 Nov 1965,American Airlines,383,"[['AA', ""Cincinnati Tower ... we're six miles           southeast and ... control VFR.""], ['TWR', 'Runway 18, wind 230 degrees, five           knots, altimeter 30.'], ['AA', 'Roger, Runway 18.'], ['TWR', 'Have you in sight - cleared to land.'], ['AA', ""We're cleared to land, roger. How far           west is that precipitation line now?""], ['TWR', ""Looks like it's just about over the           field at this time, sir. We're not getting anything on the field however           ... if we have a windshift I'll keep you advised as you turn on to           final.""], ['AA', ""Thank you - we'd appreciate it.""], ['TWR', ""We're beginning to pick up a little           rain now.""], ['AA', 'OK.'], ['TWR', 'Have you still got the runway OK?'], ['AA', ""Ah ... just barely ... we'll pick up           the ILS here.""], ['TWR', 'Approach lights, flashers and runway           lights are all on high intensity.'], ['AA', 'OK.']]",cvr651108.htm
4,,30 Jun 1967,Thai International,601,"[[""06.58:00\nTG601\nHong Kong Approach, Thai               International 601 Good Afternoon.\n\n\n\nAPP\nThai International 601, Good               Afternoon. Go Ahead.\n\n\n06.58:20\nTG601\n40 miles leaving 120 for 70.\n\n\n06.58:30\nAPP\nRoger 601, what is your present               heading?\n\n\n06.58:33\nTG601\nInbound on radial er 098\n\n\n06.58:39\nAPP\nRoger 601, runway in use 31, turn               left heading 250 radar positioning for ILS approach over.\n\n\n06.58:46\nTG601\nThank you turning left 250. We are               leaving heading\xa0 268.\n\n\n06.58:51\nAPP\nRoger.\n\n\n07.00:50\nAPP\nThai International 601, you level?\n\n\n07.00:54\nTG601\nLeaving 80\n\n\n07.00:55\nAPP\nRoger 601, descend to and maintain               4,500 feet on QNH niner niner niner millibars.\n\n\n07.01:04\nTG601\nFour five zero feet niner niner               niner leaving 80 now.\n\n\n07.01:09\nAPP\nRoger you are number one in traffic               for ILS approach .\n\n\n07.01:11\nTG601\nThank you sir.\n\n\n07.03:35\nAPP\nThai International 601, turn right               heading 270\n\n\n\nTG601\nTurning right 270\n\n\n07.03:48\nAPP\n06.01 when steady on heading 270               descend to and maintain 2,500 feet for ILS approach 14 miles touch               down.\n\n\n\nTG601\nRoger we're steering 270 leaving               4,500 for 2,500 feet.\n\n\n07.04:57\nAPP\nThai International 601, turn right               now heading 315 adjust on the ILS report established.\n\n\n\nTG601\nRoger sir.\n\n\n07.05:30\nAPP\nThai International 601 be advised               there's a heavy rain shower over the field visibility er very               reduced two kilometers.\n\n\n07.05:39\nTG601\nThank you sir.\n\n\n07.06:40\nAPP\nThai International 601, your               altitude?\n\n\n07.06:44\nTG601\n2,500 feet established.\n\n\n07.06:47\nAPP\nRoger 601, you're eight miles from               touchdown, continue ILS approach contact precision one one nine               decimal five.\n\n\n07.06:57\nTG601\nHong Kong Precision, Thai               International 601, ILS inbound passing White Cliff.\n\n\n07.07:00\nPAR\n06.01, continue your ILS approach,               you're seven miles from touch down the surface winf 290 at 18 knots               over.\n\n\n\nTG601\nThank you sir.\n\n\n07.07:30\nPAR\nSix miles from touch down. There's               heavy rain at the field in the event of an overshoot. You'll be               cleared for the emergency overshoot procedure.\n\n\n07.07:35\nPAR\nRW beacon left turn to Stonecutters               then to Cheung Chan, climbing immediately to 3,500 feet, 601.\n\n\n\nTG601\nUnderstand sir.\n\n\n07.07:52\nPAR\nYou're now five miles from touch               down.\n\n\n\nTG601\nThank you sir.\n\n\n07.08:20\nPAR\nFour miles check your wheels are               down and locked and you are clear to land. I say again clear to               land.\n\n\n07.08:24\nTG601\nThank you.\n\n\n07.08:35\nPAR\nThree and a half miles the heavy               rain is at one and a half miles from touch down all over the field.\n\n\n\n\n(Transmission clicks)\n\n\n07.08:51\nPAR\nThree miles you're just a little to               the right of centre.\n\n\n07.09:19\nPAR\nTwo miles.\n\n\n07.09:33\nPAR\nOne and a half miles. You're               slightly right of centre.\n\n\n07.09:43\nPAR\nComing back to the centre line now.\n\n\n07.09:48\nPAR\nOne mile. Going left of centre.\n\n\n07.10:00\nPAR\nWell. Left of the centre line. If               you're not visual, climb immediately on your present heading.\n\n\n07.10:19\nPAR\n06.01, I have no radar contact with               you.\n\n\n07.10:30\nPAR\n06.01. Are you overshooting?\n\n\n07.10:40\nPAR\n06.01, Hong Kong Precision.\n\n\n07.10:49\nPAR\n06.01, Hong Kong.\n\n\n07.11:04\nPAR \n06.01, Hong Kong Precision.\n\n\n07.11:28\nPAR\n06.01, Hong Kong, do you read?"", '06.58:00', 'TG601', 'Hong Kong Approach, Thai               International 601 Good Afternoon.', '', 'APP', 'Thai International 601, Good               Afternoon. Go Ahead.', '06.58:20', 'TG601', '40 miles leaving 120 for 70.', '06.58:30', 'APP', 'Roger 601, what is your present               heading?', '06.58:33', 'TG601', 'Inbound on radial er 098', '06.58:39', 'APP', 'Roger 601, runway in use 31, turn               left heading 250 radar positioning for ILS approach over.', '06.58:46', 'TG601', 'Thank you turning left 250. We are               leaving heading\xa0 268.', '06.58:51', 'APP', 'Roger.', '07.00:50', 'APP', 'Thai International 601, you level?', '07.00:54', 'TG601', 'Leaving 80', '07.00:55', 'APP', 'Roger 601, descend to and maintain               4,500 feet on QNH niner niner niner millibars.', '07.01:04', 'TG601', 'Four five zero feet niner niner               niner leaving 80 now.', '07.01:09', 'APP', 'Roger you are number one in traffic               for ILS approach .', '07.01:11', 'TG601', 'Thank you sir.', '07.03:35', 'APP', 'Thai International 601, turn right               heading 270', '', 'TG601', 'Turning right 270', '07.03:48', 'APP', '06.01 when steady on heading 270               descend to and maintain 2,500 feet for ILS approach 14 miles touch               down.', '', 'TG601', ""Roger we're steering 270 leaving               4,500 for 2,500 feet."", '07.04:57', 'APP', 'Thai International 601, turn right               now heading 315 adjust on the ILS report established.', '', 'TG601', 'Roger sir.', '07.05:30', 'APP', ""Thai International 601 be advised               there's a heavy rain shower over the field visibility er very               reduced two kilometers."", '07.05:39', 'TG601', 'Thank you sir.', '07.06:40', 'APP', 'Thai International 601, your               altitude?', '07.06:44', 'TG601', '2,500 feet established.', '07.06:47', 'APP', ""Roger 601, you're eight miles from               touchdown, continue ILS approach contact precision one one nine               decimal five."", '07.06:57', 'TG601', 'Hong Kong Precision, Thai               International 601, ILS inbound passing White Cliff.', '07.07:00', 'PAR', ""06.01, continue your ILS approach,               you're seven miles from touch down the surface winf 290 at 18 knots               over."", '', 'TG601', 'Thank you sir.', '07.07:30', 'PAR', ""Six miles from touch down. There's               heavy rain at the field in the event of an overshoot. You'll be               cleared for the emergency overshoot procedure."", '07.07:35', 'PAR', 'RW beacon left turn to Stonecutters               then to Cheung Chan, climbing immediately to 3,500 feet, 601.', '', 'TG601', 'Understand sir.', '07.07:52', 'PAR', ""You're now five miles from touch               down."", '', 'TG601', 'Thank you sir.', '07.08:20', 'PAR', 'Four miles check your wheels are               down and locked and you are clear to land. I say again clear to               land.', '07.08:24', 'TG601', 'Thank you.', '07.08:35', 'PAR', 'Three and a half miles the heavy               rain is at one and a half miles from touch down all over the field.', '', '', '(Transmission clicks)', '07.08:51', 'PAR', ""Three miles you're just a little to               the right of centre."", '07.09:19', 'PAR', 'Two miles.', '07.09:33', 'PAR', ""One and a half miles. You're               slightly right of centre."", '07.09:43', 'PAR', 'Coming back to the centre line now.', '07.09:48', 'PAR', 'One mile. Going left of centre.', '07.10:00', 'PAR', ""Well. Left of the centre line. If               you're not visual, climb immediately on your present heading."", '07.10:19', 'PAR', '06.01, I have no radar contact with               you.', '07.10:30', 'PAR', '06.01. Are you overshooting?', '07.10:40', 'PAR', '06.01, Hong Kong Precision.', '07.10:49', 'PAR', '06.01, Hong Kong.', '07.11:04', 'PAR', '06.01, Hong Kong Precision.', '07.11:28', 'PAR', '06.01, Hong Kong, do you read?'], ['06.58:00', 'TG601', 'Hong Kong Approach, Thai               International 601 Good Afternoon.'], ['', 'APP', 'Thai International 601, Good               Afternoon. Go Ahead.'], ['06.58:20', 'TG601', '40 miles leaving 120 for 70.'], ['06.58:30', 'APP', 'Roger 601, what is your present               heading?'], ['06.58:33', 'TG601', 'Inbound on radial er 098'], ['06.58:39', 'APP', 'Roger 601, runway in use 31, turn               left heading 250 radar positioning for ILS approach over.'], ['06.58:46', 'TG601', 'Thank you turning left 250. We are               leaving heading\xa0 268.'], ['06.58:51', 'APP', 'Roger.'], ['07.00:50', 'APP', 'Thai International 601, you level?'], ['07.00:54', 'TG601', 'Leaving 80'], ['07.00:55', 'APP', 'Roger 601, descend to and maintain               4,500 feet on QNH niner niner niner millibars.'], ['07.01:04', 'TG601', 'Four five zero feet niner niner               niner leaving 80 now.'], ['07.01:09', 'APP', 'Roger you are number one in traffic               for ILS approach .'], ['07.01:11', 'TG601', 'Thank you sir.'], ['07.03:35', 'APP', 'Thai International 601, turn right               heading 270'], ['', 'TG601', 'Turning right 270'], ['07.03:48', 'APP', '06.01 when steady on heading 270               descend to and maintain 2,500 feet for ILS approach 14 miles touch               down.'], ['', 'TG601', ""Roger we're steering 270 leaving               4,500 for 2,500 feet.""], ['07.04:57', 'APP', 'Thai International 601, turn right               now heading 315 adjust on the ILS report established.'], ['', 'TG601', 'Roger sir.'], ['07.05:30', 'APP', ""Thai International 601 be advised               there's a heavy rain shower over the field visibility er very               reduced two kilometers.""], ['07.05:39', 'TG601', 'Thank you sir.'], ['07.06:40', 'APP', 'Thai International 601, your               altitude?'], ['07.06:44', 'TG601', '2,500 feet established.'], ['07.06:47', 'APP', ""Roger 601, you're eight miles from               touchdown, continue ILS approach contact precision one one nine               decimal five.""], ['07.06:57', 'TG601', 'Hong Kong Precision, Thai               International 601, ILS inbound passing White Cliff.'], ['07.07:00', 'PAR', ""06.01, continue your ILS approach,               you're seven miles from touch down the surface winf 290 at 18 knots               over.""], ['', 'TG601', 'Thank you sir.'], ['07.07:30', 'PAR', ""Six miles from touch down. There's               heavy rain at the field in the event of an overshoot. You'll be               cleared for the emergency overshoot procedure.""], ['07.07:35', 'PAR', 'RW beacon left turn to Stonecutters               then to Cheung Chan, climbing immediately to 3,500 feet, 601.'], ['', 'TG601', 'Understand sir.'], ['07.07:52', 'PAR', ""You're now five miles from touch               down.""], ['', 'TG601', 'Thank you sir.'], ['07.08:20', 'PAR', 'Four miles check your wheels are               down and locked and you are clear to land. I say again clear to               land.'], ['07.08:24', 'TG601', 'Thank you.'], ['07.08:35', 'PAR', 'Three and a half miles the heavy               rain is at one and a half miles from touch down all over the field.'], ['', '', '(Transmission clicks)'], ['07.08:51', 'PAR', ""Three miles you're just a little to               the right of centre.""], ['07.09:19', 'PAR', 'Two miles.'], ['07.09:33', 'PAR', ""One and a half miles. You're               slightly right of centre.""], ['07.09:43', 'PAR', 'Coming back to the centre line now.'], ['07.09:48', 'PAR', 'One mile. Going left of centre.'], ['07.10:00', 'PAR', ""Well. Left of the centre line. If               you're not visual, climb immediately on your present heading.""], ['07.10:19', 'PAR', '06.01, I have no radar contact with               you.'], ['07.10:30', 'PAR', '06.01. Are you overshooting?'], ['07.10:40', 'PAR', '06.01, Hong Kong Precision.'], ['07.10:49', 'PAR', '06.01, Hong Kong.'], ['07.11:04', 'PAR', '06.01, Hong Kong Precision.'], ['07.11:28', 'PAR', '06.01, Hong Kong, do you read?']]",cvr670630.htm
5,,06 Nov 1967,Trans World Airlines,159,"[['23.39:37.5', 'CAM-1', ""Okay, you're lookin' fine. [engine sound reaches highest       pitch]""], ['23.39:57.5', 'CAM-1', ""Eighty knots, you got 'er.""], ['23.40:01', 'TWR', 'TWA one twenty eight cleared to land.'], ['23.40:09', 'CAM-1', 'Not very # far off the runway.'], ['', 'CAM-2', ""Sure as # isn't.""], ['23.40:15', 'CAM-1', 'See that fire in the end?'], ['23.40:15.5', 'CAM-?', '[Sound of ""Pop""]'], ['23.40:16.5', 'CAM-2', '[Sound of engine power cut]\n      Good God I hit him.'], ['23.40:17.5', 'CAM-2', 'Yokes!'], ['23.40:20', '', '[Sound of engine power resumption]'], ['23.40:20.5', 'CAM-2', 'Spoilers!'], ['', 'CAM-1', 'Oh #.'], ['', 'CAM-2', 'Sorry.'], ['', 'CAM-3', '# #'], ['23.40:32', '', '[Sound of impact]']]",cvr671106.htm
6,CVS,03 May 1968,Braniff Airways,352,Let me know when we come back around there to  ...,0
7,,10 Aug 1968,Piedmont Airlines,230,"[['08.55:00', 'PIC', 'Well, looks like our altimeters were within reason'], ['', 'COP', 'Yeah'], ['', 'PIC', 'Yeah, I like that altimeter'], ['', 'COP', 'Boy, you know it, reads right about the middle marker       there'], ['', 'PIC', 'Yeah'], ['', 'COP', 'I always watch that radio altimeter'], ['', '', '[Sound of person whistling]'], ['08.55:35.3', 'PIC', 'I go by this one on a field like this close one'], ['', 'COP', 'Yeah'], ['08.55:41.1', '', '[Sound of power increase]'], ['', 'PIC', ""There's too many valleys here""], ['', 'PIC', ""Ask him, John, ask him if he's got his lights turned all       the way up""], ['08.55:55', 'COP', 'Have you got the lights turned all the way up?'], ['', '', '[Sound of power increase]'], ['', 'TWR', ""Sure do, uh, a little fog, right off the end there and       it's wide open after you get by that, it's more than a mile-and-a- half on       the runway""], ['08.56:05.2', 'PIC', 'Fuel trim'], ['08.56:09.1', '?', ""I'm going to hold this altitude""], ['08.56:24.6', 'COP', 'I got the lights in sight down low. Got it?'], ['08.56:26', '', '[Sound of power reduction]'], ['', 'PIC', 'In sight, thank you.'], ['', 'COP', ""Everything's good.""], ['08.56:32.3', 'PIC', 'Landing flaps'], ['08.56:37.2', 'COP', ""I got the chart right here we're liable to lose it.""], ['08.56:42', 'COP', 'Got the charts there?'], ['', 'PIC', 'Yeah, boy.'], ['08.56:49', '', '[Sound of power reduction]'], ['08.56:51', '', '[Sound of power increase]'], ['08.56:51.9', 'COP', 'Watch it!'], ['08.56:53.2', '', '[Sound of impact]']]",cvr680810.htm
8,,05 Jan 1969,Ariana Afghan         Airlines,701,"[['', '', ''], ['01.13', 'LAC:', ""Gatwick's runway       visual range is 100 meters ... er ... confirm your point of landing now.""], ['', 'CPT: \n      [RT]', ""Roger, we are       trying ... er ... to Gatwick, we'll see later.""], ['', 'LAC:', ""701. I didn't get       that. Again, please.""], ['', 'CPT: \n      [RT]', 'I say again ... er       ... we are trying in Gatwick, 701.'], ['', 'LAC:', '[asks 701 to       maintain height and course to Mayfield beacon and then on to Gatwick]'], ['', 'LAC:', 'Gatwick visual       range is 100 meters.'], ['', 'LAC:', '[says       that Runway 27 is the Runway to be used]'], ['', 'CPT: \n      [RT]', 'Gatwick. The       runway 27.'], ['01.20', 'LAC:', '[gives       permission to descend to 8,000ft ]'], ['01.23', 'LAC:', ""701, London. I       just checked Gatwick. The runway remains ... the range remains at ... er ...       100 meters and there's no sign of improvement at the moment.""], ['', 'CPT:\n      [RT]', ""We'll try Gatwick       ... er ... if we cannot make it at Gatwick will it be OK if we go to       Heathrow?""], ['', 'LAC:', '[acknowledges the question and clears the flight to       5,000ft with a direct course to Mayfield beacon]'], ['01.27', 'GA:', 'Gatwick weather -       surface wind is calm. Met visibility is five zero 50 meters in freezing fog.       Runway visual range is equal to 100 one zero zero meters. Temperature is -3.'], ['', 'CPT: \n      [RT]', '[acknowledges       runway number and barometric pressure]'], ['', 'GA:', 'Er ... 701, do you       wish to make an approach?'], ['', 'CPT: \n      [RT]', ""That's       affirmative.""], ['', 'GA:', '[clears 701       down to 2,000ft]'], ['', 'CPT:', ""It's ground fog,       not air fog.""], ['', '??:', 'Yeah, once you get       in it you have to be very fucking slick.'], ['', 'F/E:', ""I suppose it'll be       known as freezing fog, not moving.""], ['', 'GA:', '[directs 701       for a runway course]'], ['', 'CPT:', 'Alter course.'], ['', 'CPT:', ""What's the       minimum?""], ['', 'F/O:', 'Minimum?'], ['', 'CPT:', 'Yeah.'], ['', 'F/O:', 'Gatwick ....er,       minimum two hundred [cloud base] and a half mile [visual range].'], ['', 'CPT:', 'Two hundred and a       half.'], ['', 'CPT:', ""What's the sea       level? We don't see the ...""], ['', 'GA:', '701 ... er ... in       event of an overshot will you be wishing to go back to Mayfield or proceed       to London?'], ['', 'CPT:\n      [RT]', 'Er ... proceed to       Mayfield then proceed to London, 701.'], ['01.29', 'LAC :', ""[tells 701 that       they're at 13 DME]""], ['', 'CPT:', 'Flaps two.'], ['', 'CPT:', 'Flaps five.'], ['', 'F/O:', 'Outer marker       number one identified.'], ['', 'F/O:', 'Roger, put flaps       one five.'], ['', 'F/O: \n      [RT]', '[tells approach       that 701 is established on the localizer]'], ['', 'GA:', '[clears 701 to       descend from 2,000ft]'], ['', 'GA:', 'In the event of       ... er ... overshoot, climb on runway heading to 2,000ft.'], ['', 'CPT:', 'What is the flap?'], ['', 'F/O:', 'Flaps at fifteen       ... glideslope alive.'], ['', 'CPT:', 'Gear down.'], ['', 'F/O:', 'Gear is coming       down.'], ['', 'F/O:', ""What's that red       light?""], ['', 'CPT:', ""Yeah, that's the       light at the end of 09. [it was actually a hazard warning light on top of a       hill short of the runway]""], ['', 'F/O:', '[asks the       engineer if the stabilizer out of trim warning light went on and to set the       bug points on the airspeed indicator to 114kts and 124kts]'], ['', 'F/E:', 'V Ref set at 114       at your side.'], ['', 'F/O:', '124 set.'], ['', 'F/E:', 'Anti skid five       releases.'], ['', 'F/O:', 'Gear down and       three green lights.'], ['01.32', 'F/E:', 'Stand by for the       flaps'], ['', 'F/E:', '[says that       flaps should have been going to 25 and 40 degrees]'], ['', 'GA:', '[gives 701       clearance to land]'], ['', 'GA:', 'Runway visual       range still 100 meters.'], ['', 'GA:', '[acknowledges       701 over the outer marker]'], ['', 'CPT:', 'Flaps three zero.'], ['', 'CPT:', 'Three zero coming       down.'], ['01.33', 'F/O:', 'Four hundred feet.'], ['', 'CPT:', 'Four hundred feet?'], ['', 'F/O:', 'Yes, we have four       hundred feet.'], ['', '', '[Sound of full       power being applied]'], ['', 'F/O:', ""We're finished!""]]",cvr690105.htm
9,,20 Mar 1969,Avion Airways,-,"[['06.35:33', 'N142D', 'Uh, New Orleans approach, Douglas one forty two delta       out of three point four to three thousand'], ['', 'ATC', 'Douglas one forty two delta New Orleans approach control       maintain three thousand proceed direct to the ILS outer compass locator and       uh weather is uh sky partially obscured, visibility one sixteenth, fog, and       smoke, altimeter three zero zero zero, runway one zero, visual range less       than six hundred feet.'], ['06.36:18', 'ATC', 'Did you get that one four two delta?'], ['', 'N142D', 'Uh roger four two delta we got it uh'], ['', 'N142D', ""Uh approach one four two delta what'd you say you had on       the RVR?""], ['', 'ATC', 'Less then six hundred feet'], ['', 'N142D', ""Uh roger, what's your minimums? Twenty four hundred?""], ['', 'ATC', ""That's correct, category two is not authorized uh center       line lights are inoperative uh not adequate""], ['06.36:54', 'N142D', 'Uh roger uh.'], ['06.37:29', 'N142D', ""Uh approach uh one forty two delta we can see the ground       out here uh do you think that's going to improve any shortly?""], ['', 'ATC', ""Since about uh two o'clock this morning it's been       getting progressively worse and uh aircraft have been able to see the ground       all night however the horizontal visibility is uh as depicted one sixteenth       prevailing visibility and DA less than six hundred RVR.""], ['', 'N142D', 'Uh roger uh will we be legal to make a pass and look at       it?'], ['', 'ATC', ""I can clear you for an approach uh yes uh you can make       the low approach if you'd like""], ['06.38:15', 'N142D', 'Uh roger well if uh we can get contact with the ground       uh will we be legal to land if that six hundred feet?'], ['', 'ATC', 'Four two delta according to the approach plates if you       get the runway or approach lights in sight uh correction on that it says uh       descent is not authorized well actually what it should say is that uh the       approach plate is uh self explanatory if you can see the runway or approach       lights affirmative you can land.'], ['06.39:05', 'N142D', 'Uh roger'], ['06.43:41', 'N142D', 'Approach control Douglas one four two delta would you       give us a vector for an ILS?'], ['', 'ATC', ""Douglas four two delta affirmative, what's your heading       right now?""], ['', 'N142D', 'Heading is one nine five.'], ['', 'ATC', 'Douglas four two delta turn right heading two two zero       descend and maintain two thousand'], ['', 'N142D', 'You had any aircraft land?'], ['06.43:51', 'ATC', 'No sir'], ['06.44:00', 'N142D', 'Are you high intensity strobe lights working?'], ['', 'ATC', 'Affirmative'], ['06.46:47', 'N142D', 'Approach control one forty two delta you want us to       remain three thousand?'], ['', 'ATC', 'Four two delta negative descend and maintain two       thousand'], ['', 'N142D', 'Uh roger out of three for two'], ['06.48:05', 'N142D', 'Four two delta level two thousand'], ['', 'ATC', 'Four two delta say again'], ['', 'N142D', 'Uh level at two thousand'], ['', 'ATC', 'OK, turn left heading one seven zero'], ['', 'N142D', 'Left to one seven zero roger'], ['06.48:55', 'ATC', 'Four two delta do you have your current uh approach       plate with you ILS uh runway one zero? Thirteen February sixty nine?'], ['', 'N142D', 'Uh say again'], ['', 'ATC', 'Do you have your approach plate with you?'], ['', 'N142D', 'Affirmative'], ['', 'ATC', 'OK turn left heading one three zero what are your       intentions?'], ['', 'N142D', ""Uh we'll make a low pass and see if we can pick up the       lights""], ['', 'ATC', 'Roger turn left heading one three zero proceed inbound       on the localizer cleared for ILS approach'], ['06.49:24', 'N142D', 'Roger'], ['06.49:58', 'ATC', 'Douglas four two delta three west of outer marker       contact Moisant tower one one niner point niner'], ['', 'N142D', 'Roger'], ['06.50:12', 'N142D', 'Uh Moisant tower, Douglas one four eight one forty two       delta'], ['', 'TWR', 'Douglas on ground uh say again'], ['', 'N142D', 'One four two delta'], ['', 'TWR', 'OK Douglas four two delta Moisant tower go ahead'], ['', 'N142D', ""Uh roger we're approaching the outer marker we going to       make a low pass see if we can pick up the lights""], ['06.50:44', 'TWR', 'Roger'], ['06.53:56', 'N142D', 'Four two delta got the strobe lights in sight'], ['', 'TWR', 'Roger'], ['06.55:46', 'TWR', 'Four two delta tower'], ['', 'TWR', 'Douglas four two delta Moisant tower']]",cvr690320.htm
10,,05 Jul 1970,Air Canada,621,"[['FO', 'Nice day'], ['CA', 'Beautiful'], ['FO', ""That's where old (unintelligible) lives there I   guess. What do they call it? High Park?""], ['CA', 'Oh'], ['FO', 'Those apartments there. See them? The high-rise   there'], ['FO', ""Yes It looks over the (unintelligible). It's quite   a good view out over the lake there.""], ['SO', 'The housing in Toronto is out of this world.   Expensive, yeah.'], ['FO', 'Yeah, expensive all right.'], ['FO', 'Yeah, a lot of people have made a lot of   money.'], ['CA', 'Yeah, Ill say.'], ['CA', 'Four for three'], ['FO', 'Four for three'], ['', '[click click   click]'], ['APP', 'Air Canda 621 is cleared for the vectored ILS. Take   course 32 and turn right to 230 final and four miles'], ['RDO-FO', 'Roger'], ['APP', '230'], ['RDO-FO', 'Roger. 230.'], ['APP', 'You are currently three and a half east of the   marker'], ['RDO-FO', '621'], ['CA', 'Before landing'], ['', '[clunk. An increase in   background noise]'], ['FO', '2975'], ['APP', '621 right turn now to heading 28. You are three to   the marker'], ['FO', 'Check three green. Four pressures.   Spoilers.'], ['FO', 'No (unintelligible) on the green'], ['CA', 'All right. Give them to me on the flare. I have   given up.'], ['FO', '(laughing)'], ['CA', 'I am tired of fighting it.'], ['SO', 'Fuel (panel) set'], ['CA', 'Thank you'], ['CA', 'Thirty-five flap'], ['FO', 'Thirty-five'], ['FO', '142'], ['APP', 'Air Canada 621 right around to 310 to intercept the   back course. Turn into 187. Good day'], ['RDO-FO', 'Maintain 310 (roger). Goodday'], ['RDO-FO', 'Toronto tower. Air Canada 621. Approaching the   whisky'], ['TWR', '621 stil depart to 727'], ['', '[apparent power   increase]'], ['FO', ""Well it's pretty late""], ['CA', 'Yeah'], ['FO', 'Surprise (unintelligible)'], ['CA', 'Landing flap'], ['FO', '129'], ['CA', '134 5'], ['', '[apparent power   decrease]'], ['RDO-FO', '621 is by the whisky'], ['TWR', '621 roger. Check (your) gear down'], ['FO', 'Gear down'], ['SO', 'Spoilers to go in the   (unintelligible)'], ['CA', 'Okay, thanks'], ['', '[apparent power   increase]'], ['', '[whistling]'], ['CA', 'Ho Ho Ho'], ['CA', ""Well that's right on the VASIS. We are little below   the glide though""], ['FO', 'Yeah you are right'], ['CA', ""It's going to be rougher than a gut. Look at that   stuff laying there on the runway""], ['', '[apparent power   decrease]'], ['FO', 'Get that thing off the ground. He is leaving a   smoke screen for you, just to make it a little challenging'], ['TWR', '621 cleared to land on runway 32'], ['RDO-FO', '621'], ['CA', 'My IFR approach here unknown. Heh, heh,   heh'], ['FO', 'Here we have a green. The VASIS appear to be a   little bit high but you are low on the glide path'], ['FO', 'Takes a whole airfield that way'], ['CA', 'Yeah'], ['CA', 'Okay'], ['', '[apparent power   reduction]'], ['CA', 'No. No. No'], ['FO', 'Sorry, of sorry, Pete!'], ['', '[apparent power   increase]'], ['', '[noise of   impact]'], ['FO', 'Sorry Pete!'], ['CA', 'Okay'], ['CA', 'We have lost our power'], ['', '[exclamation]'], ['TWR', 'Air Canada 621. Check you on the overshoot and you   can contact departure on 199 or do you wish to come in for a mile on 5   right'], ['CA', ""We'll go around. I think we are all   right""], ['RDO FO', 'Roger. We are go all the way   (around)'], ['TWR', 'Okay contact departure'], ['FO', 'Roger 199'], ['CA', 'Get the gear up please, Don'], ['', '[sound of   horn]'], ['FO', 'What about the flap'], ['CA', 'Flap 25'], ['FO', 'Sorry. What was (unintelligible)'], ['SO', 'Number 4 generator is gone'], ['CA', 'Okay, get the cross-feed off first (though). Good   (unintelligible)'], ['CA', 'Will you give the approach a call?'], ['', '[Sound of middle marker   signal]'], ['RDO-FO', 'Toronto Approach Control. Air Canada 621 is   overshooting on 32.'], ['DEP', 'Air Canada 621 confirm on the   overhoot'], ['RDO-FO', 'Affirmative'], ['DEP', 'Okay, sir. Your intentions please.'], ['RDO-FO', 'Roger. We would like to circle back for anothr   attempt on 32.'], ['DEP', 'Okay. Runway is closed. Debris on the runway.   Twenty three left - it is probably about the best. The wind is northwest about   10 to 15. Turn right heading 070 3000 feet.'], ['RDO-FO', 'Right 070 roger 3000'], ['DEP', 'Roger 621'], ['CA', ""We've lost number 4 engine""], ['FO', 'Have we?'], ['CA', '(unintelligible)'], ['SO', 'Fuel'], ['SO', 'Fuel'], ['CA', 'Aye?'], ['SO', 'Fuel'], ['CA', 'Is it?'], ['FO', 'Yes'], ['CA', 'Okay, cut number 4'], ['?O', 'Number 4 engine'], ['CA', 'Yes'], ['FO', 'Number 3 engine'], ['CA', 'Number 4'], ['FO', 'Number 4, right.'], ['CA', 'Number 3 is jammed, too'], ['FO', 'Is it?'], ['CA', 'There it is.'], ['CA', 'The whole thing is jammed.'], ['', '[crackling   noise]'], ['FO', 'What was that?'], ['FO', 'What happened there, Peter?'], ['CA', ""That't number 4 (unintelligible) Something's   happened (unintelligible)""], ['FO', ""Oh, look, we've got a (unintelligible).""], ['', '[loud sound of   explosion]'], ['FO', 'Pete, sorry.'], ['', '[louder sound of   explosion]'], ['CA', 'All right.'], ['DEP', '621. The status of your aircraft,   please.'], ['', '[sound of metal   tearing]'], ['CA', ""We've got an explosion""], ['FO', ""Oh look, we've got (unintelligible)   flame""], ['FO', 'Oh, gosh'], ['??', ""We've lost a wing""], ['', '[end of transcript]']]",cvr700705.htm
